iter	Passed	Remaining
0	164	163968
1	178	89211
2	186	61970
3	197	49089
4	209	41679
5	218	36118
6	229	32608
7	243	30160
8	255	28145
9	264	26188
10	276	24902
11	290	23880
12	298	22660
13	309	21785
14	319	20989
15	327	20147
16	339	19609
17	347	18938
18	358	18503
19	369	18085
20	376	17572
21	390	17369
22	403	17157
23	412	16773
24	424	16556
25	437	16382
26	445	16055
27	457	15885
28	469	15713
29	479	15490
30	490	15323
31	502	15199
32	510	14953
33	521	14809
34	533	14720
35	544	14575
36	558	14524
37	571	14459
38	584	14397
39	600	14407
40	614	14383
41	623	14224
42	635	14142
43	649	14105
44	659	13991
45	669	13878
46	684	13880
47	699	13881
48	719	13968
49	732	13908
50	751	13991
51	791	14438
52	819	14639
53	831	14569
54	855	14698
55	864	14571
56	876	14493
57	884	14370
58	896	14296
59	907	14215
60	916	14113
61	928	14051
62	941	14004
63	951	13910
64	962	13838
65	973	13781
66	982	13675
67	993	13614
68	1004	13551
69	1012	13453
70	1024	13399
71	1032	13313
72	1044	13259
73	1056	13219
74	1065	13143
75	1080	13132
76	1093	13110
77	1106	13073
78	1114	12993
79	1127	12965
80	1139	12927
81	1148	12858
82	1160	12816
83	1171	12780
84	1180	12712
85	1193	12686
86	1208	12677
87	1221	12660
88	1237	12669
89	1255	12693
90	1269	12682
91	1279	12632
92	1292	12605
93	1305	12585
94	1319	12574
95	1331	12542
96	1342	12495
97	1353	12457
98	1362	12398
99	1371	12343
100	1384	12322
101	1395	12284
102	1404	12231
103	1416	12202
104	1425	12147
105	1436	12119
106	1449	12100
107	1457	12038
108	1470	12016
109	1481	11986
110	1489	11928
111	1500	11894
112	1508	11841
113	1519	11807
114	1531	11782
115	1539	11730
116	1550	11698
117	1562	11675
118	1570	11624
119	1582	11603
120	1593	11578
121	1602	11530
122	1613	11502
123	1621	11454
124	1632	11427
125	1643	11401
126	1651	11353
127	1665	11349
128	1677	11328
129	1685	11282
130	1696	11257
131	1709	11243
132	1718	11202
133	1730	11182
134	1740	11152
135	1749	11113
136	1760	11088
137	1768	11047
138	1780	11028
139	1791	11004
140	1802	10982
141	1813	10956
142	1825	10942
143	1833	10900
144	1844	10876
145	1855	10853
146	1863	10814
147	1875	10799
148	1883	10760
149	1894	10734
150	1906	10719
151	1914	10683
152	1926	10664
153	1941	10663
154	1953	10648
155	1962	10620
156	1974	10599
157	1986	10584
158	1996	10557
159	2007	10537
160	2016	10508
161	2026	10480
162	2037	10460
163	2045	10426
164	2056	10405
165	2064	10370
166	2076	10357
167	2087	10339
168	2096	10308
169	2107	10288
170	2119	10273
171	2127	10242
172	2138	10222
173	2149	10204
174	2158	10177
175	2170	10160
176	2182	10147
177	2190	10116
178	2201	10099
179	2215	10093
180	2224	10063
181	2235	10046
182	2243	10017
183	2254	9997
184	2265	9980
185	2273	9950
186	2285	9936
187	2297	9923
188	2306	9898
189	2317	9881
190	2330	9869
191	2338	9843
192	2354	9843
193	2369	9846
